source,query_string,hits_reported,hits_screened,screening_note
Web search (Google/Scholar/SciELO/BDTD/repositories),CVaR conditional value at risk freight transportation network design disruption intermodal,~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),"""Two-Stage Stochastic Linear Programming Model for Tactical Planning in the Soybean Supply Chain"" Brazil",~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),multi-objective optimization soybean export routes Brazil cost time risk Pareto,~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),"BDTD tese ""programação estocástica"" OR ""otimização multiobjetivo"" logística grãos hidrovia Brasil",~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),"""Miritituba"" OR ""Tapajós"" OR ""Madeira"" waterway barge soybean optimization model water level seasonality capacity",~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),"""comboio"" barcaças formação otimização nível do rio hidrovia Madeira modelo matemático soja",~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),Mississippi River low water barge grain transportation disruption stochastic optimization model rerouting,~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),Rhine low water inland waterway transport modal shift stochastic optimization model bulk cargo capacity,~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),Péra Caixeta-Filho modelo otimização logística soja milho sazonalidade capacidade portos ESALQ-LOG,~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),"""soybean"" Brazil transport ""risk"" OR ""reliability"" network model road disruption rainfall BR-163 quantitative",~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Web search (Google/Scholar/SciELO/BDTD/repositories),Brazil agricultural transport network natural hazard disruption rerouting cost increase 10% model study,~8-10 results returned,10,all returned links inspected; promising items resolved via Crossref/OpenAlex
Crossref API (verification),DOI resolution of 36 candidate DOIs,36,36,all DOIs listed in papers.csv resolved in Crossref with matching title/venue/year
