id,citation,doi_url,brazil_grain_export,region_scope,element1_multiobjective,element2_seasonal_timevarying_capacity,element3_stochastic_disruption_recourse_cvar,method,data,notes
P11,"Almeida, M.S.; Amaral, M. do; Morabito, R. (2016). Um estudo sobre localizacao de terminais intermodais na rede de escoamento da soja brasileira. Producao 26(3), 562-580.",https://doi.org/10.1590/0103-6513.144513,YES,Brazil soybean network,NO,NO,NO,MILP flow + terminal location,"Secondary data, 3 alternative networks incl. planned railways",
P12,"Amaral, M. do; Almeida, M.S.; Morabito, R. (2012). Um modelo de fluxos e localizacao de terminais intermodais para escoamento da soja brasileira destinada a exportacao. Gestao & Producao 19(4), 717-732.",https://doi.org/10.1590/s0104-530x2012000400005,YES,Brazil soybean export,NO,NO,NO,MILP flow + location,Secondary Brazilian data,
P13,"Morales, P.R.G.D.; D'Agosto, M. de A.; Souza, C.D.R. de (2013). Otimizacao de rede intermodal para o transporte de soja do norte do Mato Grosso ao porto de Santarem. Journal of Transport Literature 7(2), 29-51.",https://doi.org/10.1590/s2238-10312013000200003,YES,North MT -> Santarem,NO,NO,NO,Four-step demand/supply procedure + network optimisation,"PNLT 2023 planned supply network, Sorriso-Santarem","Same corridor as this study; static, single-objective, deterministic."
P14,"Silva, M.A.V.; Marujo, L.G. (2012). Analise de modelo intermodal para escoamento da producao da soja no centro oeste brasileiro. Journal of Transport Literature 6(3), 90-106.",https://doi.org/10.1590/s2238-10312012000300006,YES,Centre-West,NO,NO,NO,Intermodal flow model,Centre-West soybean flows,
P15,"Pinto da Costa da Rocha, M.; Souza, M.; Farias, V.; Tavares, H. et al. (2020). Optimization of soybean outflow routes from Mato Grosso, Brazil. International Journal for Innovation Education and Research 8(8), 176-191.",https://doi.org/10.31686/ijier.vol8.iss8.2502,YES,Mato Grosso,NO,NO,NO,MILP (GUSEK solver),"MT origins, ports, intermodal routes",Static least-cost allocation on the same corridors.
P16,"dos Santos Lopes, H.; Cardoso Goes, L.F.; da Silva Lima, R. (2024). Otimizacao da logistica de transporte da soja do MATOPIBA destinada a exportacao. Revista de Economia e Agronegocio 21(3), 1-21.",https://doi.org/10.25070/rea.v21i3.13250,YES,MATOPIBA -> Shanghai/Hamburg,NO,"NO (8 scenarios varying port capacity, not seasonal)",NO,Linear programming (transshipment),"11 origins, 10 Brazilian ports, 2 destinations, Panama/Good Hope routes",
P17,"Oliveira, A.L.R. de; Filassi, M.; Lopes, B.F.R.; Marsola, K.B. (2021). Logistical transportation routes optimization for Brazilian soybean: an application of the origin-destination matrix. Ciencia Rural 51(2), e20190786.",https://doi.org/10.1590/0103-8478cr20190786,YES,Brazil,NO,NO,NO,Transportation/OD matrix LP,Brazilian soybean OD flows,
P18,"Pais, J.M. (2025). Um Modelo de programacao quadratica para a analise da viabilidade economica da melhoria da infraestrutura de transportes em Mato Grosso. Planejamento e Politicas Publicas 68, 69-100.",https://doi.org/10.38116/ppp68art3,YES,Mato Grosso,NO,NO,NO,Quadratic spatial equilibrium model,World soybean economy; 3 planned MT infrastructure works,"Evaluates MT infrastructure (incl. rail) but as welfare/price equilibrium, not capacitated routing."
P19,"Rocha, F.V.; Caixeta-Filho, J.V. (2018). Ferrograo: impactos economicos e a localizacao otima do terminal de transbordo. Pesquisa Operacional para o Desenvolvimento 10(2), 108-127.",https://doi.org/10.4322/podes.2018.008,YES,Ferrograo / MT,NO,NO,NO,Optimisation (terminal location / least cost),"Ferrograo route, MT production, freight rates",Direct Ferrograo comparator; deterministic.
P20,"Pera, T.G.; Bartholomeu, D.B.; Su, C.T.; Caixeta-Filho, J.V. (2019). Evaluation of green transport corridors of Brazilian soybean exports to China. Brazilian Journal of Operations & Production Management 16(3), 398-412.",https://doi.org/10.14488/bjopm.2019.v16.n3.a4,YES,Brazil -> China,PARTIAL (cost and emissions compared across corridors),NO,NO,Corridor cost/emission evaluation (network model),"SIFRECA freight data, Brazilian corridors",
P21,"De La Cruz, B.; Pizzolato, N.D.; De La Cruz, A. (2010). An application of the spatial equilibrium model to soybean production in Tocantins and neighboring states in Brazil. Pesquisa Operacional 30(2), 443-464.",https://doi.org/10.1590/s0101-74382010000200011,YES,Tocantins/Arco Norte,NO,NO,NO,Spatial equilibrium (quadratic programming),"Regional production, transport costs",
P22,"Garcia, B.T.G.; Lopes, D.M.M.; Leal Junior, I.C.; Amorim, J.C.C. et al. (2019). Analysis of the Performance of Transporting Soybeans from Mato Grosso for Export: A Case Study of the Tapajos-Teles Pires Waterway. Sustainability 11(21), 6124.",https://doi.org/10.3390/su11216124,YES,MT -> Tapajos/Teles Pires,NO,PARTIAL (waterway operating conditions),NO,"Performance/cost analysis, simulation","Tapajos-Teles Pires waterway, MT soybean",
P23,"da Rocha, F.V.; Branco, J.E.H. (2024). Assessing the carbon footprint of soybean transportation in Brazil: a network equilibrium model approach. Environmental Monitoring and Assessment 196(10).",https://doi.org/10.1007/s10661-024-13141-9,YES,Brazil,NO,NO,NO,Network equilibrium model,"Brazilian multimodal network, soybean flows, emissions",
P24,"Wang, Z.; Martha, G.B.; Liu, J.; Lima, C.Z. de; Hertel, T. et al. (2024). Planned expansion of transportation infrastructure in Brazil has implications for the pattern of agricultural production and carbon emissions. Science of the Total Environment 928, 172434.",https://doi.org/10.1016/j.scitotenv.2024.172434,YES,Brazil (PNL2035),NO,NO,NO,Grid-resolving multi-scale economic model + geospatial transport cost,"PNL2035 rail expansion, crop grids",
P25,"Souza, M.; Oliveira, A. (2026). Climate-Driven Shifts in Soybean Suitability in Brazil's Arco Norte: Implications for Logistical Vulnerability. Land 15(5), 773.",https://doi.org/10.3390/land15050773,YES,Arco Norte,NO,NO,PARTIAL (qualitative logistical vulnerability under CMIP6 scenarios),MaxEnt species-distribution modelling,"Bioclimatic, land use, infrastructure layers",No optimisation; useful for framing climate risk on the corridor.
P26,"Gbadegoye, J.; Camur, M.C.; Li, X. (2025). A two-stage stochastic model for road-rail intermodal freight transportation under demand and capacity uncertainty. International Journal of Transportation Science and Technology (in press).",https://doi.org/10.1016/j.ijtst.2025.07.004,NO,"Generic containers, US-style network","PARTIAL (mean-CVaR trade-off, not a cost/time/risk Pareto front)","PARTIAL (fixed train schedules, uncertain train capacity - not seasonal)",YES (two-stage stochastic + CVaR),Two-stage stochastic MILP with CVaR,Synthetic/containerised intermodal instances,"Method template for (3); not agricultural, not seasonal."
P27,"Wang, L.; Liu, Q. (2022). Reliable planning of hinterland-port freight network against transfer disruption risks. Transport 37(4), 291-309.",https://doi.org/10.3846/transport.2022.17067,NO,Hinterland-port intermodal (China),PARTIAL (mean-risk / CVaR framework),NO,"YES (probabilistic terminal disruptions, 2nd-stage flow reassignment = recourse, CVaR)","Two-stage stochastic programming, mean-risk with CVaR",Hinterland-port intermodal network instances,Closest non-Brazil analogue of the disruption+recourse+CVaR layer for bulk/containers.
P28,"Uddin, M.; Huynh, N. (2019). Reliable Routing of Road-Rail Intermodal Freight under Uncertainty. Networks and Spatial Economics 19(3), 929-952.",https://doi.org/10.1007/s11067-018-9438-6,NO,US road-rail intermodal,NO,NO,"YES (stochastic disruptions of links/terminals, reliable routing)",Stochastic routing / Monte Carlo on intermodal network,US intermodal network,Element (3) without recourse re-optimisation or CVaR.
P29,"Sharifi, E.; Fang, L.; Amin, S.H. (2023). A novel two-stage multi-objective optimization model for sustainable soybean supply chain design under uncertainty. Sustainable Production and Consumption 40, 297-317.",https://doi.org/10.1016/j.spc.2023.07.006,NO,Soybean supply chain (North America),"YES (multi-objective, Pareto)",NO,"PARTIAL (two-stage stochastic/uncertainty scenarios; no disruption re-routing, no CVaR)",Two-stage multi-objective stochastic programming,Soybean SC network design data,"Closest (1)+(3) combination for soybean specifically, but network DESIGN, not corridor routing, and no seasonality."
P30,"Vinke, F.; van Koningsveld, M.; van Dorsser, C.; Baart, F. et al. (2022). Cascading effects of sustained low water on inland shipping. Climate Risk Management 35, 100400.",https://doi.org/10.1016/j.crm.2022.100400,NO,"Rhine, bulk/IWT",NO,YES (water level -> draft -> transport capacity over time),"PARTIAL (low-water extremes as scenario, cascading supply effects; no optimisation/recourse)",Network performance simulation,"Rhine discharge/water level series, fleet composition, 2018 event",Best non-Brazil reference for element (2) done rigorously on a waterway.
P31,"Bedoya-Maya, F.; Shobayo, P.; Beckers, J.; van Hassel, E. (2024). The impact of critical water levels on container inland waterway transport. Transportation Research Part D 131, 104190.",https://doi.org/10.1016/j.trd.2024.104190,NO,Rhine,NO,"YES (low/high water disruption days, monthly)",PARTIAL (empirical disruption impacts),Time-series econometrics,"Rhine throughput 2000-2022, water level gauges",Empirical magnitude of low-water disruption; no optimisation.
P32,"Zhang, Y.; Anderson, A.; Pates, N.; Park, E. (2026). When the River Runs Low: Heterogeneous Impacts of Transportation Disruptions on Local Grain Basis. Agribusiness (early view).",https://doi.org/10.1002/agr.70108,NO,"Mississippi, US grain",NO,YES (low-water disruption episodes),PARTIAL (empirical disruption impact on basis),Econometrics,"US grain basis, barge rates, river stages",Empirical counterpart to the price/basis reading in results.md section 3.
P33,"Wang, X.; Lu, Y. (2025). Optimization of grain import market layout in the context of food security: a study of soybean in China. Frontiers in Sustainable Food Systems 9, 1549463.",https://doi.org/10.3389/fsufs.2025.1549463,NO,China soybean imports,YES (multi-objective: cost vs risk),PARTIAL (explicit seasonal factors in import layout),"PARTIAL (supply risk, not link disruptions with recourse)",Multi-objective optimisation,Global soybean trade data,"Rare (1)+(2)+risk combination, but market/source layout, not multimodal routing."
P34,"Archetti, C.; Peirano, L.; Speranza, M.G. (2022). Optimization in multimodal freight transportation problems: A survey. European Journal of Operational Research 299(1), 1-20.",https://doi.org/10.1016/j.ejor.2021.07.031,NO,Review,-,-,-,Survey,-,Already cited in literature-review.md; confirms the (1)+(2)+(3) combination is uncommon.
P35,"SteadieSeifi, M.; Dellaert, N.P.; Nuijten, W.; Van Woensel, T.; Raoufi, R. (2014). Multimodal freight transportation planning: A literature review. European Journal of Operational Research 233(1), 1-15.",https://doi.org/10.1016/j.ejor.2013.06.055,NO,Review,-,-,-,Survey,-,Already cited in literature-review.md.
